
x=-1.935221  erro_sin=0.000000e+00
x=-1.922655  erro_sin=0.000000e+00
x=-1.910088  erro_sin=0.000000e+00
x=-1.897522  erro_sin=0.000000e+00
x=-1.884956  erro_sin=0.000000e+00
x=-1.872389  erro_sin=0.000000e+00
x=-1.859823  erro_sin=0.000000e+00
x=-1.847256  erro_sin=0.000000e+00
x=-1.834690  erro_sin=0.000000e+00
x=-1.822124  erro_sin=0.000000e+00
x=-1.809557  erro_sin=1.110223e-16
x=-1.796991  erro_sin=0.000000e+00
x=-1.784425  erro_sin=0.000000e+00
x=-1.771858  erro_sin=0.000000e+00
x=-1.759292  erro_sin=1.110223e-16
x=-1.746726  erro_sin=0.000000e+00
x=-1.734159  erro_sin=0.000000e+00
x=-1.721593  erro_sin=0.000000e+00
x=-1.709026  erro_sin=1.110223e-16
x=-1.696460  erro_sin=0.000000e+00
x=-1.683894  erro_sin=0.000000e+00
x=-1.671327  erro_sin=0.000000e+00
x=-1.658761  erro_sin=0.000000e+00
x=-1.646195  erro_sin=0.000000e+00
x=-1.633628  erro_sin=0.000000e+00
x=-1.621062  erro_sin=0.000000e+00
x=-1.608495  erro_sin=0.000000e+00
x=-1.595929  erro_sin=0.000000e+00
x=-1.583363  erro_sin=0.000000e+00
x=-1.570796  erro_sin=0.000000e+00
x=-1.558230  erro_sin=0.000000e+00
x=-1.545664  erro_sin=0.000000e+00
x=-1.533097  erro_sin=0.000000e+00
x=-1.520531  erro_sin=0.000000e+00
x=-1.507964  erro_sin=0.000000e+00
x=-1.495398  erro_sin=0.000000e+00
x=-1.482832  erro_sin=0.000000e+00
x=-1.470265  erro_sin=0.000000e+00
x=-1.457699  erro_sin=1.110223e-16
x=-1.445133  erro_sin=0.000000e+00
x=-1.432566  erro_sin=0.000000e+00
x=-1.420000  erro_sin=0.000000e+00
x=-1.407434  erro_sin=0.000000e+00
x=-1.394867  erro_sin=0.000000e+00
x=-1.382301  erro_sin=0.000000e+00
x=-1.369734  erro_sin=0.000000e+00
x=-1.357168  erro_sin=0.000000e+00
x=-1.344602  erro_sin=1.110223e-16
x=-1.332035  erro_sin=0.000000e+00
x=-1.319469  erro_sin=0.000000e+00
x=-1.306903  erro_sin=0.000000e+00
x=-1.294336  erro_sin=1.110223e-16
x=-1.281770  erro_sin=1.110223e-16
x=-1.269203  erro_sin=0.000000e+00
x=-1.256637  erro_sin=0.000000e+00
x=-1.244071  erro_sin=0.000000e+00
x=-1.231504  erro_sin=0.000000e+00
x=-1.218938  erro_sin=0.000000e+00
x=-1.206372  erro_sin=0.000000e+00
x=-1.193805  erro_sin=1.110223e-16
x=-1.181239  erro_sin=0.000000e+00
x=-1.168672  erro_sin=0.000000e+00
x=-1.156106  erro_sin=1.110223e-16
x=-1.143540  erro_sin=1.110223e-16
x=-1.130973  erro_sin=1.110223e-16
x=-1.118407  erro_sin=2.220446e-16
x=-1.105841  erro_sin=2.220446e-16
x=-1.093274  erro_sin=4.440892e-16
x=-1.080708  erro_sin=5.551115e-16
x=-1.068142  erro_sin=7.771561e-16
x=-1.055575  erro_sin=1.110223e-15
x=-1.043009  erro_sin=1.443290e-15
x=-1.030442  erro_sin=2.109424e-15
x=-1.017876  erro_sin=2.886580e-15
x=-1.005310  erro_sin=3.996803e-15
x=-0.992743  erro_sin=5.329071e-15
x=-0.980177  erro_sin=7.216450e-15
x=-0.967611  erro_sin=9.658940e-15
x=-0.955044  erro_sin=1.298961e-14
x=-0.942478  erro_sin=1.709743e-14
x=-0.929911  erro_sin=2.264855e-14
x=-0.917345  erro_sin=2.975398e-14
x=-0.904779  erro_sin=3.863576e-14
x=-0.892212  erro_sin=5.029310e-14
x=-0.879646  erro_sin=6.494805e-14
x=-0.867080  erro_sin=8.359979e-14
x=-0.854513  erro_sin=1.071365e-13
x=-0.841947  erro_sin=1.366685e-13
x=-0.829380  erro_sin=1.736389e-13
x=-0.816814  erro_sin=2.196021e-13
x=-0.804248  erro_sin=2.767786e-13
x=-0.791681  erro_sin=3.474998e-13
x=-0.779115  erro_sin=6.241452e-12
x=-0.766549  erro_sin=5.052625e-12
x=-0.753982  erro_sin=4.076073e-12
x=-0.741416  erro_sin=3.276379e-12
x=-0.728849  erro_sin=2.623679e-12
x=-0.716283  erro_sin=2.092992e-12
x=-0.703717  erro_sin=1.663003e-12
x=-0.691150  erro_sin=1.315836e-12
x=-0.678584  erro_sin=1.036615e-12
x=-0.666018  erro_sin=8.130163e-13
x=-0.653451  erro_sin=6.348255e-13
x=-0.640885  erro_sin=4.931611e-13
x=-0.628319  erro_sin=3.813616e-13
